marketing_key,campaign_date,campaign_name,channel,impressions,clicks,spend,conversions,total_orders,total_sales_amount,conversion_rate,cost_per_order,revenue_generated
1,17-03-2023,App Push Notification,App,8480,734,1990.75,20,6,4193.24,3.00E-02,331.79,6650.41
2,17-03-2023,Category Promotion,Social Media,5216,860,3922.53,34,6,4193.24,4.00E-02,653.76,7701.25
3,17-03-2023,Email Campaign,Email,3569,568,4246.47,10,6,4193.24,0.02,707.75,5880.42
4,17-03-2023,Festival Offer,Email,7462,639,2322.43,47,6,4193.24,7.00E-02,387.07,4769.51
5,17-03-2023,Flash Sale,App,9057,167,4493.34,97,6,4193.24,0.58,748.89,3860.26
6,17-03-2023,Membership Drive,Email,8331,809,2363.07,92,6,4193.24,0.11,393.85,3710.79
7,17-03-2023,New User Discount,SMS,8489,529,1090.49,45,6,4193.24,9.00E-02,181.75,2050.84
8,17-03-2023,Referral Program,Social Media,5967,439,1511.93,78,6,4193.24,0.18,251.99,8322.01
9,17-03-2023,Weekend Special,Social Media,5675,404,3685.09,64,6,4193.24,0.16,614.18,6883.28
10,18-03-2023,App Push Notification,Social Media,5143,877,4980.21,72,7,9591.13,8.00E-02,711.46,5334.19
11,18-03-2023,Category Promotion,App,4678,933,3764.66,93,7,9591.13,0.1,537.81,9022.56
12,18-03-2023,Email Campaign,Social Media,2983,112,3073.32,41,7,9591.13,0.37,439.05,9767.38
13,18-03-2023,Festival Offer,Email,2376,406,3217.48,36,7,9591.13,9.00E-02,459.64,9245.6
14,18-03-2023,Flash Sale,Social Media,7518,588,2842.07,10,7,9591.13,0.02,406.01,4104.47
15,18-03-2023,Membership Drive,App,8437,154,1114.55,73,7,9591.13,0.47,159.22,3681.73
16,18-03-2023,New User Discount,App,8830,925,2094.05,63,7,9591.13,7.00E-02,299.15,3707.31
17,18-03-2023,Referral Program,Social Media,2333,671,1673.17,92,7,9591.13,0.14,239.02,2489.65
18,18-03-2023,Weekend Special,App,9471,348,4403.58,56,7,9591.13,0.16,629.08,6769.76
19,19-03-2023,App Push Notification,Email,2064,240,3006.57,98,7,8379.42,0.41,429.51,9905.9
20,19-03-2023,Category Promotion,Social Media,6884,281,3833.74,21,7,8379.42,7.00E-02,547.68,9876.77
21,19-03-2023,Email Campaign,App,8554,434,1912.22,85,7,8379.42,0.2,273.17,5526.85
22,19-03-2023,Festival Offer,Social Media,4263,315,2919.33,92,7,8379.42,0.29,417.05,8142.55
23,19-03-2023,Flash Sale,App,6838,552,4228.31,54,7,8379.42,0.1,604.04,5697.99
24,19-03-2023,Membership Drive,SMS,4705,950,3550.33,35,7,8379.42,4.00E-02,507.19,7567.43
25,19-03-2023,New User Discount,App,6482,303,2965.25,98,7,8379.42,0.32,423.61,4747.72
26,19-03-2023,Referral Program,SMS,9662,957,2782.62,10,7,8379.42,0.01,397.52,8041.16
27,19-03-2023,Weekend Special,Email,6361,873,2707.96,70,7,8379.42,8.00E-02,386.85,9365.24
28,20-03-2023,App Push Notification,SMS,1175,258,4582.31,79,4,2531.09,0.31,1145.58,6159.5
29,20-03-2023,Category Promotion,Email,5989,799,2310.46,46,4,2531.09,6.00E-02,577.62,3576.48
30,20-03-2023,Email Campaign,SMS,3668,265,4647.18,43,4,2531.09,0.16,1161.8,6848.41
31,20-03-2023,Festival Offer,App,1839,771,1400.73,47,4,2531.09,6.00E-02,350.18,6713.5
32,20-03-2023,Flash Sale,SMS,2285,752,4078.77,32,4,2531.09,4.00E-02,1019.69,5962.47
33,20-03-2023,Membership Drive,SMS,5898,183,4545.14,84,4,2531.09,0.46,1136.29,2224.39
34,20-03-2023,New User Discount,SMS,8310,599,3778.57,37,4,2531.09,6.00E-02,944.64,8332.14
35,20-03-2023,Referral Program,SMS,5805,751,4487.51,80,4,2531.09,0.11,1121.88,4496.41
36,20-03-2023,Weekend Special,Email,3127,865,1234.31,61,4,2531.09,7.00E-02,308.58,4913.44
37,21-03-2023,App Push Notification,App,7627,955,4079.72,28,13,13299.89,3.00E-02,313.82,9578.43
38,21-03-2023,Category Promotion,App,1164,147,3786.03,59,13,13299.89,0.4,291.23,7929.31
39,21-03-2023,Email Campaign,SMS,9879,537,1389.99,85,13,13299.89,0.16,106.92,8628.28
40,21-03-2023,Festival Offer,SMS,9415,384,2329.08,61,13,13299.89,0.16,179.16,3584.95
41,21-03-2023,Flash Sale,Email,2826,658,4616.28,52,13,13299.89,8.00E-02,355.1,4606.87
42,21-03-2023,Membership Drive,Social Media,8466,969,1266.57,77,13,13299.89,8.00E-02,97.43,2736.82
43,21-03-2023,New User Discount,SMS,5647,442,2316.72,86,13,13299.89,0.19,178.21,7813.91
44,21-03-2023,Referral Program,Email,2173,954,3455.25,76,13,13299.89,8.00E-02,265.79,7399.09
45,21-03-2023,Weekend Special,App,5608,334,3777.41,72,13,13299.89,0.22,290.57,9756.74
46,22-03-2023,App Push Notification,Social Media,3868,219,2023.12,37,6,3833.4,0.17,337.19,6476.34
47,22-03-2023,Category Promotion,SMS,5909,107,4053.48,64,6,3833.4,0.6,675.58,3118.41
48,22-03-2023,Email Campaign,Email,4130,221,3163.3,30,6,3833.4,0.14,527.22,2518.13
49,22-03-2023,Festival Offer,Email,3693,660,4290.94,89,6,3833.4,0.13,715.16,6730.95
50,22-03-2023,Flash Sale,Social Media,8985,810,1490.98,30,6,3833.4,4.00E-02,248.5,2104.12
51,22-03-2023,Membership Drive,Email,7310,380,2233.48,78,6,3833.4,0.21,372.25,7492.12
52,22-03-2023,New User Discount,Email,9215,917,4078.9,95,6,3833.4,0.1,679.82,6369.96
53,22-03-2023,Referral Program,Social Media,3057,693,4725.78,37,6,3833.4,5.00E-02,787.63,7802.92
54,22-03-2023,Weekend Special,Email,7296,407,2263.28,63,6,3833.4,0.15,377.21,3328.71
55,23-03-2023,App Push Notification,SMS,2362,388,2454.03,82,5,5289.1,0.21,490.81,4993.38
56,23-03-2023,Category Promotion,Email,7752,720,2303.66,88,5,5289.1,0.12,460.73,9979.12
57,23-03-2023,Email Campaign,App,9564,313,2459.63,54,5,5289.1,0.17,491.93,8632.89
58,23-03-2023,Festival Offer,Email,7763,980,4171.25,55,5,5289.1,6.00E-02,834.25,8898.51
59,23-03-2023,Flash Sale,SMS,1080,996,1190.48,39,5,5289.1,4.00E-02,238.1,3395.94
60,23-03-2023,Membership Drive,App,5130,225,4271.84,62,5,5289.1,0.28,854.37,2663.9
61,23-03-2023,New User Discount,SMS,6417,746,3803.8,97,5,5289.1,0.13,760.76,4861.21
62,23-03-2023,Referral Program,SMS,3612,410,4443.02,98,5,5289.1,0.24,888.6,9532.87
63,23-03-2023,Weekend Special,Email,5924,472,1948.25,87,5,5289.1,0.18,389.65,5118.53
64,24-03-2023,App Push Notification,Social Media,2471,517,2787.53,87,4,2354.25,0.17,696.88,7948.75
65,24-03-2023,Category Promotion,Social Media,6810,662,1873.15,63,4,2354.25,0.1,468.29,2188.86
66,24-03-2023,Email Campaign,Social Media,1305,912,3755.14,44,4,2354.25,5.00E-02,938.79,3285.47
67,24-03-2023,Festival Offer,App,5606,385,4112.18,43,4,2354.25,0.11,1028.05,9159.18
68,24-03-2023,Flash Sale,SMS,2054,917,3599.31,78,4,2354.25,9.00E-02,899.83,9439.85
69,24-03-2023,Membership Drive,Email,4372,118,3685.58,21,4,2354.25,0.18,921.4,6105.73
70,24-03-2023,New User Discount,Email,8879,713,3229.43,65,4,2354.25,9.00E-02,807.36,8042.72
71,24-03-2023,Referral Program,App,4211,161,2952.92,60,4,2354.25,0.37,738.23,8978.51
72,24-03-2023,Weekend Special,App,8611,382,2805.98,19,4,2354.25,5.00E-02,701.5,4678.44
73,25-03-2023,App Push Notification,Social Media,5652,203,1347.57,91,11,9946.95,0.45,122.51,6147.63
74,25-03-2023,Category Promotion,Email,8528,144,4893.44,67,11,9946.95,0.47,444.86,6130.27
75,25-03-2023,Email Campaign,App,2404,104,4924.35,92,11,9946.95,0.88,447.67,2998
76,25-03-2023,Festival Offer,Social Media,9996,400,4550.92,21,11,9946.95,5.00E-02,413.72,2914.84
77,25-03-2023,Flash Sale,Social Media,1794,579,1090.48,67,11,9946.95,0.12,99.13,8166.84
78,25-03-2023,Membership Drive,Email,9953,756,3901.92,30,11,9946.95,4.00E-02,354.72,7255.43
79,25-03-2023,New User Discount,Email,8006,917,2916.87,36,11,9946.95,4.00E-02,265.17,8987.84
80,25-03-2023,Referral Program,Email,1191,707,4311.66,18,11,9946.95,3.00E-02,391.97,4300.83
81,25-03-2023,Weekend Special,Social Media,1095,198,1462.65,42,11,9946.95,0.21,132.97,3268.92
82,26-03-2023,App Push Notification,Email,8272,145,3268.34,74,9,8582.83,0.51,363.15,3453.24
83,26-03-2023,Category Promotion,App,3264,377,4434.81,33,9,8582.83,9.00E-02,492.76,5948.99
84,26-03-2023,Email Campaign,App,4892,778,1978.81,11,9,8582.83,0.01,219.87,6047.43
85,26-03-2023,Festival Offer,SMS,8840,738,1710.93,97,9,8582.83,0.13,190.1,7613.05
86,26-03-2023,Flash Sale,App,6557,713,2739.57,36,9,8582.83,5.00E-02,304.4,2195.17
87,26-03-2023,Membership Drive,Social Media,1217,844,2935.02,81,9,8582.83,0.1,326.11,4996.5
88,26-03-2023,New User Discount,Email,6515,978,3612.4,55,9,8582.83,6.00E-02,401.38,4154.15
89,26-03-2023,Referral Program,SMS,4302,838,1396.97,54,9,8582.83,6.00E-02,155.22,7959.1
90,26-03-2023,Weekend Special,Email,9486,982,3393.15,82,9,8582.83,8.00E-02,377.02,6056.88
91,27-03-2023,App Push Notification,SMS,5962,635,4000.94,40,6,6945.67,6.00E-02,666.82,6108.74
92,27-03-2023,Category Promotion,App,8936,383,4651.77,55,6,6945.67,0.14,775.3,4537.64
93,27-03-2023,Email Campaign,App,4960,221,1653.52,32,6,6945.67,0.14,275.59,6389.35
94,27-03-2023,Festival Offer,Social Media,9877,120,1004.12,79,6,6945.67,0.66,167.35,5988.75
95,27-03-2023,Flash Sale,SMS,8626,897,3849.1,72,6,6945.67,8.00E-02,641.52,7433.42
96,27-03-2023,Membership Drive,App,4331,933,3852.99,57,6,6945.67,6.00E-02,642.17,6865.78
97,27-03-2023,New User Discount,Social Media,2168,995,3727.85,14,6,6945.67,0.01,621.31,3882.81
98,27-03-2023,Referral Program,Email,3684,212,1743.39,75,6,6945.67,0.35,290.57,4131.25
99,27-03-2023,Weekend Special,SMS,7627,409,2902.6,95,6,6945.67,0.23,483.77,4870.49
100,28-03-2023,App Push Notification,SMS,3877,644,2547.18,77,9,3182.98,0.12,283.02,6142.99
101,28-03-2023,Category Promotion,SMS,1983,714,3018.52,96,9,3182.98,0.13,335.39,2258.47
102,28-03-2023,Email Campaign,SMS,7778,339,4590.96,22,9,3182.98,6.00E-02,510.11,3003.48
103,28-03-2023,Festival Offer,Email,7055,492,1250.01,69,9,3182.98,0.14,138.89,6591.15
104,28-03-2023,Flash Sale,Email,4433,601,3808.59,35,9,3182.98,6.00E-02,423.18,6844.83
105,28-03-2023,Membership Drive,SMS,2415,959,3156.4,54,9,3182.98,6.00E-02,350.71,9044.93
106,28-03-2023,New User Discount,Email,4839,196,2856.05,99,9,3182.98,0.51,317.34,3628.72
107,28-03-2023,Referral Program,Email,1746,812,4129.05,54,9,3182.98,7.00E-02,458.78,5963.97
108,28-03-2023,Weekend Special,SMS,1404,578,3003.2,22,9,3182.98,4.00E-02,333.69,5171.68
109,29-03-2023,App Push Notification,Social Media,5439,267,1138.46,50,10,12902.64,0.19,113.85,3606.7
110,29-03-2023,Category Promotion,SMS,5091,298,4098.68,76,10,12902.64,0.26,409.87,9981.75
111,29-03-2023,Email Campaign,Email,8009,487,2485.6,22,10,12902.64,5.00E-02,248.56,9232.8
112,29-03-2023,Festival Offer,App,3011,896,3345.6,71,10,12902.64,8.00E-02,334.56,4694.52
113,29-03-2023,Flash Sale,App,7888,798,3170.66,61,10,12902.64,8.00E-02,317.07,4184.41
114,29-03-2023,Membership Drive,Social Media,4671,547,4821.81,96,10,12902.64,0.18,482.18,5426.91
115,29-03-2023,New User Discount,Email,1864,674,4081.7,75,10,12902.64,0.11,408.17,5808.31
116,29-03-2023,Referral Program,Email,4563,826,3132.83,40,10,12902.64,5.00E-02,313.28,9986.03
117,29-03-2023,Weekend Special,SMS,4834,408,1574.27,89,10,12902.64,0.22,157.43,5312.99
118,30-03-2023,App Push Notification,App,4489,648,3199.57,96,7,6710.59,0.15,457.08,8519.89
119,30-03-2023,Category Promotion,SMS,3916,775,3366.67,96,7,6710.59,0.12,480.95,6669.28
120,30-03-2023,Email Campaign,SMS,3672,172,4188.2,16,7,6710.59,9.00E-02,598.31,6808.85
121,30-03-2023,Festival Offer,Email,4391,498,1318.85,41,7,6710.59,8.00E-02,188.41,2947.82
122,30-03-2023,Flash Sale,SMS,8892,686,4883.96,46,7,6710.59,7.00E-02,697.71,8800.23
123,30-03-2023,Membership Drive,Email,1976,569,1843.14,16,7,6710.59,3.00E-02,263.31,4728.41
124,30-03-2023,New User Discount,SMS,7902,167,2021.45,99,7,6710.59,0.59,288.78,5977.6
125,30-03-2023,Referral Program,Social Media,4993,143,2684.33,87,7,6710.59,0.61,383.48,5713.54
126,30-03-2023,Weekend Special,Email,8929,294,1369.45,98,7,6710.59,0.33,195.64,5560.78
127,31-03-2023,App Push Notification,Email,2580,472,3725.26,95,7,5988.58,0.2,532.18,5458.71
128,31-03-2023,Category Promotion,Email,9458,834,2352.62,26,7,5988.58,3.00E-02,336.09,4444.8
129,31-03-2023,Email Campaign,App,6135,881,2317.4,26,7,5988.58,3.00E-02,331.06,4012.86
130,31-03-2023,Festival Offer,Social Media,2677,871,4177.77,44,7,5988.58,5.00E-02,596.82,5813.68
131,31-03-2023,Flash Sale,App,5124,627,4041.52,77,7,5988.58,0.12,577.36,2385.37
