order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,dwh_create_date
1961864118,63230,52:01.0,47:01.0,0,0.96,On Time,Not Applicable,05:43.1
1549769649,14983,25:29.0,27:29.0,2,0.98,Slightly Delayed,Traffic,05:43.1
9185164487,39859,25:12.0,29:12.0,4,3.83,Slightly Delayed,Traffic,05:43.1
9644738826,61497,34:56.0,33:56.0,0,2.76,On Time,Not Applicable,05:43.1
5427684290,84315,17:39.0,18:39.0,1,2.63,Slightly Delayed,Traffic,05:43.1
3265154092,554,49:51.0,48:51.0,0,1.94,On Time,Not Applicable,05:43.1
4898355547,14630,01:37.0,02:37.0,1,2.2,Slightly Delayed,Traffic,05:43.1
6568151549,67714,37:48.0,39:48.0,2,1.3,Slightly Delayed,Traffic,05:43.1
6006693867,91362,02:36.0,05:36.0,3,3.38,Slightly Delayed,Traffic,05:43.1
374186990,77203,37:30.0,44:30.0,7,1.47,Slightly Delayed,Traffic,05:43.1
4455336265,64046,47:06.0,45:06.0,0,0.76,On Time,Not Applicable,05:43.1
3539286337,94899,44:24.0,39:24.0,0,3.68,On Time,Not Applicable,05:43.1
9171116867,73907,25:33.0,37:33.0,12,2.23,Significantly Delayed,Traffic,05:43.1
5504941865,56077,55:11.0,06:11.0,11,4.45,Significantly Delayed,Traffic,05:43.1
5868326481,94140,24:07.0,21:07.0,0,2.8,On Time,Not Applicable,05:43.1
2137046916,12377,03:32.0,01:32.0,0,1.78,On Time,Not Applicable,05:43.1
8195544338,102,20:57.0,28:57.0,8,1.16,Slightly Delayed,Traffic,05:43.1
2889700050,45032,33:26.0,36:26.0,3,3.07,Slightly Delayed,Traffic,05:43.1
65827885,1108,25:05.0,20:05.0,0,1.65,On Time,Not Applicable,05:43.1
4656471694,62782,27:08.0,35:08.0,8,3.7,Slightly Delayed,Traffic,05:43.1
6625178717,74906,40:22.0,53:22.0,13,4.22,Significantly Delayed,Traffic,05:43.1
7169557514,79516,38:13.0,50:13.0,12,3.28,Significantly Delayed,Traffic,05:43.1
2268306684,65733,11:08.0,10:08.0,0,1.82,On Time,Not Applicable,05:43.1
6905293278,53868,36:23.0,02:23.0,26,0.58,Significantly Delayed,Traffic,05:43.1
1769493463,22954,29:47.0,24:47.0,0,1.21,On Time,Not Applicable,05:43.1
5003387344,21004,05:47.0,00:47.0,0,4.52,On Time,Not Applicable,05:43.1
2064484752,43022,00:49.0,55:49.0,0,2.29,On Time,Not Applicable,05:43.1
964822979,42914,49:00.0,47:00.0,0,1.09,On Time,Not Applicable,05:43.1
6037899648,59131,00:43.0,04:43.0,4,4.56,Slightly Delayed,Traffic,05:43.1
9347571484,88612,26:15.0,39:15.0,13,3.29,Significantly Delayed,Traffic,05:43.1
3286177534,90038,09:15.0,07:15.0,0,3.07,On Time,Not Applicable,05:43.1
9073572548,28575,25:42.0,47:42.0,22,4.77,Significantly Delayed,Traffic,05:43.1
8395583761,84816,53:44.0,48:44.0,0,3.53,On Time,Not Applicable,05:43.1
6355378227,23910,06:36.0,05:36.0,0,3.91,On Time,Not Applicable,05:43.1
277376321,78589,45:12.0,44:12.0,0,3.85,On Time,Not Applicable,05:43.1
8559748526,93002,27:19.0,28:19.0,1,0.94,Slightly Delayed,Traffic,05:43.1
1458051433,61040,30:56.0,26:56.0,0,2.75,On Time,Not Applicable,05:43.1
5838302640,30907,02:25.0,09:25.0,7,1.7,Slightly Delayed,Traffic,05:43.1
1380971977,52614,21:55.0,16:55.0,0,4.09,On Time,Not Applicable,05:43.1
1221099013,60689,01:59.0,03:59.0,2,3.15,Slightly Delayed,Traffic,05:43.1
6771166303,98179,36:07.0,48:07.0,12,2.55,Significantly Delayed,Traffic,05:43.1
7111337755,84833,07:44.0,04:44.0,0,3.44,On Time,Not Applicable,05:43.1
5562922993,73904,14:19.0,17:19.0,3,1.64,Slightly Delayed,Traffic,05:43.1
5630957897,14408,32:42.0,36:42.0,4,3.92,Slightly Delayed,Traffic,05:43.1
1787380558,95835,43:58.0,45:58.0,2,2.8,Slightly Delayed,Traffic,05:43.1
32613017,77303,36:41.0,36:41.0,0,4,On Time,Not Applicable,05:43.1
2039041670,31963,05:47.0,20:47.0,15,2.12,Significantly Delayed,Traffic,05:43.1
210693801,14789,10:25.0,12:25.0,2,2.5,Slightly Delayed,Traffic,05:43.1
8120002258,61526,15:08.0,11:08.0,0,2.43,On Time,Not Applicable,05:43.1
2177917034,75636,16:51.0,25:51.0,9,0.73,Slightly Delayed,Traffic,05:43.1
4254814926,1761,34:58.0,33:58.0,0,1.74,On Time,Not Applicable,05:43.1
6074172790,3481,26:37.0,30:37.0,4,2.48,Slightly Delayed,Traffic,05:43.1
3381573131,50582,47:21.0,42:21.0,0,4.91,On Time,Not Applicable,05:43.1
3773745777,97135,58:25.0,58:25.0,0,3.31,On Time,Not Applicable,05:43.1
9251939156,57095,51:53.0,58:53.0,7,2.35,Slightly Delayed,Traffic,05:43.1
3872982303,60234,24:33.0,25:33.0,1,2.6,Slightly Delayed,Traffic,05:43.1
2625987757,51273,54:43.0,56:43.0,2,4.7,Slightly Delayed,Traffic,05:43.1
