order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,dwh_create_date
6736891890,15661901,21-10-2024,46:41.0,58:41.0,Slightly Delayed,879.26,Wallet,72028,1551,05:42.9
1223255075,71321741,18-08-2023,18:18.0,19:18.0,On Time,1982.08,Card,4873,4759,05:42.9
8158413630,15066187,30-08-2024,59:12.0,57:12.0,On Time,3028.59,Card,56303,4712,05:42.9
7867573412,61226563,14-09-2023,09:24.0,29:24.0,Significantly Delayed,3835.33,Card,62986,7904,05:42.9
1624690598,52048413,23-03-2024,10:00.0,06:00.0,On Time,1705.95,UPI,41423,4852,05:42.9
8968945932,67386193,07-09-2024,16:44.0,42:44.0,Significantly Delayed,1245.7,Wallet,53832,742,05:42.9
1645212433,67918495,07-08-2024,41:32.0,08:32.0,Significantly Delayed,1736.21,UPI,77571,7086,05:42.9
9187046038,75860724,13-06-2023,54:57.0,58:57.0,On Time,1211.53,Cash,84082,9783,05:42.9
9305357757,76212152,12-05-2023,25:22.0,22:22.0,On Time,652.58,Wallet,84853,6424,05:42.9
8312320295,31076002,29-06-2024,36:03.0,36:03.0,On Time,3212.41,Wallet,27452,9123,05:42.9
3256941332,43599910,22-11-2023,00:51.0,56:51.0,On Time,2777.76,Wallet,18290,9281,05:42.9
8980502814,45708879,15-10-2024,47:03.0,47:03.0,On Time,1794.68,Card,67937,1222,05:42.9
9270396838,63376126,06-07-2023,58:05.0,57:05.0,On Time,1592.28,Wallet,46248,4041,05:42.9
2892588628,54797119,19-04-2024,52:27.0,59:27.0,Slightly Delayed,302.82,Wallet,59145,7662,05:42.9
8774158800,19216141,12-12-2023,42:51.0,56:51.0,Slightly Delayed,693.48,Cash,69717,9309,05:42.9
2056131802,16448993,02-09-2023,12:17.0,32:17.0,Significantly Delayed,328.51,Card,36835,4025,05:42.9
3528007192,52279849,11-07-2023,10:59.0,12:59.0,On Time,2411.61,Card,53884,6512,05:42.9
2845333894,4192351,28-04-2024,32:13.0,43:13.0,Slightly Delayed,4555.81,UPI,52847,5891,05:42.9
6602340187,38875754,11-03-2024,23:24.0,44:24.0,Significantly Delayed,374.68,Card,94455,6074,05:42.9
721004875,75913572,09-10-2023,13:34.0,09:34.0,On Time,3319.78,UPI,61840,8326,05:42.9
7435895360,77217240,04-09-2024,53:32.0,58:32.0,On Time,983.79,Card,89661,6336,05:42.9
